Number,Name,logBB
258,O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1,-0.2
259,S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,-0.2
260,NCC1(CC(=O)O)CCCCC1,-0.19
261,CCNC(=O)C(C(N)=O)c1ccccc1,-0.19
262,NC(=O)OCC(COC(N)=O)c1ccccc1,-0.19
263,CCC(=O)N[C@@H]1C(=O)NC(=O)NC1=NC[C@H](O)[C@H](O)[C@H](O)CO,-0.18
264,CCCC(C)(COC(N)=O)COC(=O)NC,-0.18
265,C[C@]12CC(O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-0.18
266,C=CC=C,-0.17
267,CC(C)CO,-0.17
268,CC(N)C(=O)O,-0.17
269,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,-0.17
270,COC(=O)C1C(=O)C=C(Nc2cccc(OC(F)(F)F)c2)CC1C,-0.17
271,C[n+]1ccccc1/C=N/O,-0.17
272,O=[N+]([O-])c1nccn1CCCCCCCCF,-0.17
273,CCCO,-0.16
274,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,-0.16
275,Cn1nnc2ccc(C(c3ccc(Cl)cc3)n3cncn3)cc21,-0.16
276,NC1=NCC2c3ccccc3Cc3ccccc3N12,-0.16
277,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-0.15
278,CCCC(C)(COC(N)=O)COC(N)=O,-0.15
279,CC(C)=O,-0.15
280,c1ccc(-c2nnc(N3CCN(c4ncccn4)CC3)cc2-c2ccncc2)cc1,-0.15
281,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,-0.15
282,COc1ccc(S(C)(=O)=O)cc1CNC1CCCNC1c1ccccc1,-0.15
283,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,-0.15
284,NC(N)=O,-0.14
285,CC(=O)/C=C/c1cccs1,-0.14
286,CC(C)Nc1cccnc1N1CCNCC1,-0.14
287,CCOC(=O)c1ncn2c1CN(CCF)C(=O)c1cc(F)ccc1-2,-0.14
288,N#Cc1ccsc1C1=Nc2ccc(Cl)cc2NC(=O)C1,-0.14
289,O=c1cc(NC2CCN(Cc3ccc4c(c3)CCO4)CC2)c2cc(Cl)ccc2o1,-0.14
290,COC(C)=O,-0.13
291,C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2,-0.13
292,CC(C)NCCCOc1cccc(CN2CCCCC2)c1,-0.13
293,Cl/C=C\Cl,-0.13
294,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-0.12
295,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,-0.12
296,CC(C)n1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,-0.12
297,CN1C[C@H](CCn2c3c(c4ccccc42)C(=O)NCC3)CC1=O,-0.12
298,O=[N+]([O-])c1c(Cc2ccccc2)c[nH]c1NCCSCc1ccccn1,-0.12
299,CN(C)C1CCN(Cc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)CC1,-0.11
300,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,-0.1
301,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-0.1
302,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-0.1
303,Cc1cc(=O)n(-c2ccccc2)n1C,-0.1
304,CC(C)O,-0.1
305,CCC(C)=O,-0.1
306,CC(C)NCC(O)COc1cccc2[nH]ccc12,-0.1
307,NC(=O)N1c2ccccc2C=Cc2ccccc21,-0.1
308,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,-0.1
309,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.1
310,CC(F)OC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,-0.1
311,CN(C)Cc1ccc(-c2c[nH]c(=O)c3cccc(O)c23)cc1,-0.1
312,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,-0.1
313,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,-0.1
314,Cc1c(I)c(=O)n(-c2ccccc2)n1C,-0.1
315,Cc1cc(-c2cc(N)n3nc(-c4ccccn4)nc3c2)ccn1,-0.1
316,ClCC(Cl)Cl,-0.1
317,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.1
318,O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2ccc(Cl)cc2)CC1,-0.1
319,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,-0.1
320,CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1c(Br)cccc1-2,-0.09
321,Cn1nc(CC(=O)NC2CC[N+]3(C)CCCC2C3)c2ccccc21,-0.08
322,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,-0.07
323,CC1(O)NC=C2CN=C(c3ccccc3F)c3cc(Cl)ccc3N21,-0.07
324,CCC1(c2ccccc2)C(=O)NCNC1=O,-0.07
325,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,-0.07
326,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,-0.07
327,C=CC,-0.06
328,C=CCC1(C(C)CCCC)C(=O)NC(=O)N(C)C1=O,-0.06
329,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-0.06
330,Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,-0.06
331,CN1C(=O)C2C(N=CN2C)N(C)C1=O,-0.06
332,CCOc1ccccc1C(N)=O,-0.05
333,Cc1c(F)c(=O)n(-c2ccccc2)n1C,-0.05
334,Cc1cc(=O)n(-c2ccc(F)cc2)n1C,-0.05
335,O=c1c(Br)ccc2n1CC1CNCC2C1,-0.05
336,O=c1cccc2n1CC1CNC(Br)C2C1,-0.05
337,CCNCc1ccc(C(=O)Nc2cc(C)n(Cc3cc(Cl)ccc3OCC(C)C)n2)cc1,-0.05
338,CNCc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1,-0.05
339,CO[C@@H]1CN(CC2Cc3ccc(C#N)cc3C2)CCC1n1c(C(C)(C)O)nc2cc(C)ccc21,-0.05
340,Cc1cccc(C)c1Nc1ncc(-c2cccc(OCCN3CCCC3)c2)n2cncc12,-0.05
341,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-0.05
342,CC1C=[N+](C2CC(N=[N+]=N)C(CO)O2)C(=O)NC1=O,-0.05
343,CC[C@@H](C(N)=O)N1CCCC1=O,-0.04
344,Cc1cnc(N=C(N)N)s1,-0.04
345,Cc1csc(N=C(N)N)n1,-0.04
346,Cc1ncc(-c2csc(N=C(N)N)n2)[nH]1,-0.04
347,Oc1ccc2c(c1)OCO2,-0.04
348,C1CCc2nnnn2CC1,-0.03
349,CN1CCCC12CCN(Cc1ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc1)CC2,-0.03
350,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=N[C@@H]2O,-0.03
351,O=c1[nH]c(CCCN2CCC(c3ccccc3)CC2)nc2c(Cl)cccc12,-0.03
352,O=C(OCc1ccccc1)N1CCC(CNc2ccccn2)CC1,-0.02
353,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,-0.01
354,CC(=O)N1CCN(C2CCN(C(=O)N(C)C(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(c3ccc(F)cc3C)C2)CC1,-0.01
355,CCCC(C)=O,-0.01
356,CCCN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,-0.01
357,CCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,-0.01
358,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1,-0.01
359,O=[N+]([O-])c1nccn1CC(O)CF,-0.01
360,O=[N+]([O-])c1nccn1CC(O)COCF,-0.01
361,c1ccc2c(c1)CCC(CNCCCNC1=NCCCN1)O2,-0.01
362,CC(C)(C)/[N+]([O-])=C/c1ccccc1,0.0
363,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.0
364,CCOCC,0.0
365,C=CCC(N)c1ccccc1-c1noc2ccccc12,0.0
366,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,0.0
367,CC(C)CC(N)C(=O)O,0.0
368,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,0.0
369,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.0
370,CCOC(C)=O,0.0
371,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,0.0
372,COC(=O)[C@@H]1C(=O)C=C(Nc2ccc(Cl)cc2)C[C@@H]1C,0.0
373,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,0.0
374,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,0.0
375,N#Cc1c(COc2ccccn2)nc(N)nc1-c1ccco1,0.0
376,N#Cc1c(N2CCc3ccccc3CC2)ncn(CCO)c1=O,0.0
377,NC(=Nc1ccccc1)Nc1ccccc1,0.0
378,NC(=O)C1c2ccccc2C=Cc2ccccc21,0.0
379,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0.0
380,C[C@H](Nc1cc(-c2c(-c3cccc(C(F)(F)F)c3)nc(C3CCNCC3)n2C)ccn1)c1ccccc1,0.01
381,C=CCOc1ccccc1OCC(O)CNC(C)C,0.02
382,CO,0.02
383,O=C(CC1=NC2NN(c3ccccc3)C(=O)C2=C1CC(=O)c1cccc2ccccc12)c1cccc2ccccc12,0.02
384,N#[N+]O,0.03
385,NN,0.03
386,CCC(O)(CC(N)=O)c1ccccc1,0.04
387,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.04
388,CCC1(CCC(C)C)CNC(=O)NC1=O,0.04
389,CCn1c(C)nc(N2CCc3ccccc3CC2)c([N+](=O)[O-])c1=O,0.04
390,CCN(CC)CCOC(=O)c1ccc(N)cc1,0.05
391,N[C@@H](Cc1ccc(B(O)O)cc1)C(=O)O,0.05
392,CN1CCC(n2nc(-c3c(-c4ccccc4)nn4ccccc34)ccc2=O)CC1,0.06
393,CN1C(=O)NC2=NCN(C)C2C1=O,0.06
394,CN1C(=O)NC2N=CN(C)C2C1=O,0.06
395,CCC(C)(C)O,0.07
396,CCCN(CCC)c1cc(C)nc2c(-c3cnc(N(C)C)cc3C)c(C)nn12,0.07
397,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccc(Br)cc1)c1ccc(F)cc1,0.07
398,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C(C)C)CC1,0.08
399,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,0.08
400,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,0.08
401,CCOc1cc(OCCCCOc2ccc(C(=O)CC(C)C)c(O)c2)ccc1CCC(=O)O,0.08
402,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,0.08
403,FCC(Cl)(Cl)Cl,0.08
404,CCN(CC)CCCC(=O)c1cc(Cl)c(N)cc1OC,0.09
405,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,0.09
406,O=C(O)c1ccccc1C(=O)OC1CCc2ccccc2C1,0.09
407,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0.1
408,C1CC1,0.1
409,C=COC=C,0.1
410,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,0.1
411,Cn1c(=O)[nH]c2ncn(C)c2c1=O,0.1
412,O=C(O)c1cc(O)ccc1O,0.1
413,C=CC1CC2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,0.1
414,CN1CC(C)(C2=CCCCC2)C(=O)NC1=O,0.1
415,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.1
416,Clc1cccc(Cl)c1NC1=NCCN1,0.1
417,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,0.1
418,CC(C)(C)O,0.11
419,CN1C2=C3N=c4ccccc4=C3CCN2C(=O)c2ccccc21,0.11
420,COc1ccc(-n2nc(C)cc2C)cc1CNC1CCCNC1c1ccccc1,0.11
421,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,0.11
422,C[n+]1c2n(c(=O)c3ccccc31)CCC1c3ccccc3NC21,0.11
423,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)N(C)C(=O)CO5)CC3)cccc2n1,0.11
424,Clc1cccc(Cl)c1NC1N=CCN1,0.11
425,FC(F)OC(F)C(F)(F)F,0.11
426,NCCn1ncc2cc(Cl)c(Cl)cc21,0.11
427,CCCOC(C)=O,0.12
428,C=COCCCCOC=C,0.12
429,F/C=C/O/C=C/F,0.13
430,O=C(OCc1ccccc1)N1CCC(CNc2ccncc2)CC1,0.13
431,O=c1cc(NC2CCN(C/C=C/c3ccccc3)CC2)c2cc(Cl)ccc2o1,0.13
432,CCN(CC)CCNC(=O)c1ccc(N)c(Cl)c1,0.14
433,CNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCc3ccccc3)n2)cc1,0.15
434,OC[C@H]1OC(OC2=C(c3ccc(O)c(O)c3)OC3C=C(O)C=C(O)C3=C2)[C@H](O)[C@@H](O)[C@@H]1O,0.15
435,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,0.15
436,O=C(O)COc1ccc(Cl)cc1Cl,0.15
437,CC(O)C(=O)O,0.16
438,Cc1ccc(C)c(C)c1,0.16
439,Clc1ccc(NC2=NCCN2)c(Cl)c1,0.16
440,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)cc(Cl)n2)CC1,0.16
441,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1,0.16
442,N#Cc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,0.17
443,Cc1cc(-c2ccccc2)nnc1N1CCN(c2ncccn2)CC1,0.18
444,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0.18
445,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCNC2,0.18
446,O=C1c2ccccc2S(=O)(=O)N1CCCCN[C@H]1CCc2ccccc2O1,0.18
447,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@@H](O)[C@H](NC(=O)c3ccc(F)cc3)c3ccccc3)C(C)=C1C2(C)C,0.19
448,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,0.2
449,CCCN(CCC)CCc1cccc2c1CC(=O)N2,0.2
450,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.2
451,COC(F)(F)C(Cl)Cl,0.2
452,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,0.2
453,CCc1ccccc1,0.2
454,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.2
455,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,0.2
456,CCCCCO,0.2
457,CN(C)Cc1ccccc1Sc1cc(F)c(Cl)cc1N,0.2
458,CN(C)Cc1ccccc1Sc1ccc(F)cc1N,0.2
459,COCCn1c(C)nc(N2CCC(c3ccc(F)cc3)CC2)c([N+](=O)[O-])c1=O,0.2
460,COc1ccc2c3c1OC1CC(O)C=C(CN(C)C2)C31,0.2
461,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,0.2
462,FC(F)OC(F)(F)[C@H](F)Cl,0.2
463,Cc1cccc(C)c1,0.2
464,CNCCCC1(c2ccccc2)SC(C)(C)c2ccccc21,0.22
465,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1,0.22
466,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.23
467,COc1cc(/C=C/C(=O)NCCn2c(C(F)(F)F)cc3ccccc32)cc(OC)c1OC,0.23
468,c1cc2ccc3cccc4ccc(c1)c2c34,0.23
469,CN1CCCC1c1cccnc1,0.24
470,COc1ccc(-n2nnnc2C(F)(F)F)cc1CNC1CCCNC1c1ccccc1,0.24
471,CCCN(CCC)CCc1ccc2c(c1)CC(=O)N2,0.25
472,CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21,0.25
473,CCCN1CCOC2c3cc(O)ccc3CCC21,0.26
474,FC(Br)C(F)(F)F,0.27
475,CCCBr,0.27
476,CCOC(=O)Cc1cc2c(c(N)n1)N=C(c1ccccc1)C(C)N2,0.27
477,CCOC(=O)c1ccc(N)cc1,0.27
478,FC(Br)CC(F)(F)F,0.27
479,Cc1cccc(OCC(O)CNC(C)C)c1,0.28
480,CCCCOC(C)=O,0.28
481,CC(C)=CCN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)CC1C,0.28
482,CC1=C(CC2CCc3c(c4ccccc4n3C)C2=O)CC=N1,0.28
483,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0.28
484,Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl,0.28
485,ClC=C(Cl)Cl,0.3
486,FC(F)(F)C(Cl)Br,0.3
487,CC(C)(C)c1nc(N2CCN(CCCSc3nccc(=O)[nH]3)CC2)cc(C(F)(F)F)n1,0.3
488,CCC(NC(=O)c1c(C)c(-c2ccccc2)cc2ccccc12)c1ccccc1,0.3
489,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0.3
490,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,0.3
491,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,0.3
492,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,0.3
493,Cc1cn(-c2cccc(Nc3ncnc4c3CCc3ccccc3-4)c2)cn1,0.3
494,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.3
495,FCOC(C(F)(F)F)C(F)(F)F,0.3
496,N#Cc1cccc(C2=Nc3ccc(C#Cc4ccccc4)cc3NC(=O)C2)c1,0.3
497,Nc1nc2ccc(OC(F)(F)F)cc2s1,0.3
498,C=C,0.3
499,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,0.3
500,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,0.31
501,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,0.32
502,Cc1nc2cc(CNC3CCCNC3c3ccccc3)c(OC(C)C)cc2s1,0.32
503,c1cncc(C2CCCN2)c1,0.32
504,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0.32
505,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,0.32
506,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,0.32
507,OC1CNCc2ccccc21,0.32
508,Brc1cccc(Br)c1NC1=NCCN1,0.33
509,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1C,0.33
510,ClCC(Cl)(Cl)Cl,0.33
511,CCN(CC)CC(=O)Nc1c(C)cccc1C,0.34
512,Cc1ccccc1-c1ccc(N)cc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.34
513,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0.35
514,CCOC(=O)Nc1cc2c(c(N)n1)N=C(CN(C)c1ccc(OC)cc1)CN2,0.36
515,COC(C)(C)C,0.36
516,COc1ccc(-c2nccs2)cc1CNC1CCCNC1c1ccccc1,0.36
517,Cc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,0.36
518,Cc1nc2c(c(-n3ccc(C(F)(F)F)n3)n1)CCN2c1ccc(Cl)cc1Cl,0.36
519,O=c1[nH]c(C2=CC(N3CCC(c4ccccc4)CC3)CC2)nc2c(Cl)cccc12,0.36
520,COc1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,0.37
521,CC(C)(C)NCC(O)COc1ccccc1C#N,0.38
522,CN(C)c1ccc(O)c(CNc2cccc3ccc(CO)nc23)c1,0.38
523,Clc1ccc(Cl)c(N=C2NCCN2)c1,0.38
524,O=c1ccc(-c2c(-c3ccccc3)nn3ccccc23)nn1CCN1CCCCC1,0.38
525,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.39
526,COc1cc2c(c(CNC3CCCNC3c3ccccc3)c1)OCC2,0.39
527,Clc1ccc2c(c1)C1CNCC1c1ccccc1O2,0.39
528,Cc1cccc2c1Oc1ccccc1C1(O)CNCC21,0.39
529,Clc1ccc2c(c1)C1CCNCC1c1ccccc1O2,0.39
530,Fc1ccc(Cn2c([C@@H]3CCCNC3)nc3ccccc32)cc1,0.39
531,OCCOCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,0.39
532,CC(Cl)(Cl)Cl,0.4
533,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,0.4
534,c1ccccc1,0.4
535,Cc1ccccc1,0.4
536,Cc1ccc(C)cc1,0.4
537,Cc1ccccc1C,0.4
538,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21,0.4
539,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,0.4
540,CC[C@H](C)[C@H]1O[C@@]2(CC[C@H]1C)C[C@@H]1C[C@@H](CC=C(C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](O)[C@H](C)O4)[C@H](C)O3)[C@H](C)C=CC=C3COC4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0.4
541,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,0.4
542,CC(C)Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,0.41
543,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,0.41
544,Clc1cc(Br)cc(Cl)c1NC1=NCCN1,0.41
545,FC(F)OC(Cl)C(F)(F)F,0.42
546,CCN(CCC#N)c1ccccc1,0.42
547,COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,0.42
548,N#CCCNCCc1ccccc1,0.42
549,CN(C)c1ccnc2sc3c(=O)n(C4CCCCCC4)cnc3c12,0.43
550,CN(C)c1ccnc2sc3c(=O)n(N4CCCCCC4)cnc3c12,0.43
551,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,0.43
552,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0.44
553,O=C(Nc1ccc(Cl)nc1)c1ccc(F)c(F)c1,0.44
554,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,0.44
555,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,0.46
556,Clc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,0.47
557,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0.48
558,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,0.48
559,COc1cc2sc(C)nc2cc1CNC1CCCNC1c1ccccc1,0.48
560,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3ccc(F)cc3)CC1=O)C2,0.48
561,O=C(NCCCCN1CCC(Oc2cccc(C(F)(F)F)c2)CC1)c1ccnc2ccccc12,0.48
562,O=S(=O)(c1cccc(Cl)c1)n1ccc2c(N3CCNCC3)c(Cl)ccc21,0.48
563,c1ccc2c(c1)[nH]c1cnccc12,0.48
564,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.49
565,COc1cc2oc(C)nc2cc1CNC1CCCNC1c1ccccc1,0.49
566,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.5
567,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0.5
568,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.5
569,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,0.5
570,O=C1CN=C(c2ccccc2)c2c(Cl)cccc2N1,0.5
571,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,0.51
572,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,0.51
573,CCCCCCCCC,0.52
574,Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21,0.52
575,Fc1ccc([C@@H]2CCNCC2COc2ccc3c(c2)OCO3)cc1,0.52
576,CNCCCN1c2ccccc2CCc2cc(O)ccc21,0.53
577,C/C(=C(\CCOC(=O)C(N)Cc1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1)SSC(C)C)N(C)C=O,0.53
578,CN(C)c1ccccc1Sc1ccc(CCF)cc1N,0.55
579,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0.55
580,CCC1(O)CC(OC2CC(N3CCOCC3)C(O)C(C)O2)c2c(O)c3c(c(O)c2C1O)C(=O)c1cccc(O)c1C3=O,0.56
581,CN1CCN(Cc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)CC1,0.56
582,COc1cccc(CN)c1O,0.56
583,N#Cc1ccc2c(c1)CCN(CCC1CCC(NC(=O)c3ccnc4ccccc34)CC1)C2,0.56
584,c1ccc2c(c1)CCNC2,0.56
585,C#CCN(C)[C@H](C)Cc1ccccc1,0.57
586,COC1=C2O[C@H]3C(=O)C=C[C@H]4[C@H]5CC(C=C1)C2[C@@]34CCN5C,0.57
587,COc1ccc2[nH]nc(NC3CCN(Cc4ccc5c(c4)OCO5)CC3)c2c1,0.57
588,Cc1ccn(CCCCN2CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC2)c(=O)c1,0.57
589,Cc1nnc2n1C1CCC(Cl)CC1C(c1ccccc1Cl)=NC2,0.57
590,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,0.57
591,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,0.58
592,CC(CF)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12,0.58
